Case_ID,Investor_Narrative,Evidence_Span,Author_Portfolio,Author_Escalation,Consensus_Risk_Tolerance,Consensus_Risk_Capacity,Consensus_Liquidity_Need,Consensus_Suitability_Risk,Consensus_Portfolio,Consensus_Escalation,Agree_Count,Disagree_Count,Unsure_Count,Review_Flag
ILS-101,I am 70 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have no high-interest debt and a separate emergency fund. I might need a portion of the funds for a home improvement project in a few years. I prefer avoiding losses even if returns are lower. I prefer stability and clear explanation over maximum growth.,Reliable income and avoid a large drawdown; I might need a portion of the funds for a home improvement project in a few years; I prefer avoiding losses even if returns are lower,Conservative,No,Low,High,Moderate,Low,Conservative,No,4,0,0,No
ILS-102,"I am 64 and would like investment advice that reflects my goals and constraints. I have two goals at the same time: tuition soon and future family security later. I may need a large part of the money within eighteen months. I can save monthly, although I still have normal household commitments. I understand that equity markets can fall and I would stay invested, but I am unsure whether one portfolio can serve both the short-term and long-term goals.","Tuition soon and future family security later; I may need a large part of the money within eighteen months; I can save monthly, although I still have normal household commitments",Human review,Yes,Inconsistent,Moderate,High,High,Human review,Yes,4,0,0,No
ILS-103,"As a 38-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I am trying to grow funds for a future home purchase. I have several fixed expenses and only a small emergency reserve, and I need access to cash this year for medical expenses. I want a very high-return strategy even though I cannot afford a big setback. At the same time, I cannot tolerate losing much of this money. I need advice because my desire for high return may not match my ability to absorb losses.","I have several fixed expenses and only a small emergency reserve; I need access to cash this year for medical expenses; I want a very high-return strategy even though I cannot afford a big setback; At the same time, I cannot tolerate losing much of this money.",Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-104,I am 38 and would like investment advice that reflects my goals and constraints. This account partly supports my emergency reserve. I have a mortgage but my income covers regular expenses. I want some flexibility in case a family expense appears within the next four years. I become very uncomfortable when my account falls even a little. I would accept lower returns if that reduces the chance of a meaningful loss.,This account partly supports my emergency reserve.; I want some flexibility in case a family expense appears within the next four years; I become very uncomfortable when my account falls even a little,Capital preservation,No,Low,Moderate,Moderate,Medium,Capital preservation,No,4,0,0,No
ILS-105,"As a 28-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I want the account to support stable income rather than large capital gains. I have a mortgage but my income covers regular expenses. I may need access to some cash before the end of five years. I would rather earn less than see big swings. I would accept lower returns if that reduces the chance of a meaningful loss.",I want the account to support stable income rather than large capital gains.; I may need access to some cash before the end of five years; I would rather earn less than see big swings,Conservative,No,Low,Moderate,Moderate,Low,Conservative,No,4,0,0,No
ILS-106,"As a 51-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I am approaching retirement and want to protect what I have accumulated. My debt is manageable, but I would not want a large loss right before a major expense. I want some flexibility in case a family expense appears within the next four years. I would rather earn less than see big swings. I would accept lower returns if that reduces the chance of a meaningful loss.",I am approaching retirement and want to protect what I have accumulated.; I want some flexibility in case a family expense appears within the next four years; I would rather earn less than see big swings,Conservative,No,Low,Moderate,Moderate,Low,Conservative,No,4,0,0,No
ILS-107,"I am 51 and would like investment advice that reflects my goals and constraints. I have not decided whether this is for retirement, a house, or general savings. I have not checked whether my emergency fund is enough. I think I can take some risk, but I am not sure how much. I would like the robo-adviser to recommend something, but I realize important information may still be missing.","I have not decided whether this is for retirement, a house, or general savings; I have not checked whether my emergency fund is enough; I think I can take some risk, but I am not sure how much",Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-108,"I am 38 and would like investment advice that reflects my goals and constraints. I have two goals at the same time: a business deposit soon and retirement later. I may need the money within six months. My income is irregular and my emergency fund is small. I am comfortable with moderate risk if the reason is clear, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",A business deposit soon and retirement later; I may need the money within six months; My income is irregular and my emergency fund is small,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-109,"I am 61 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have some family expenses, but also a modest emergency fund. I want to keep access to the funds because a major expense is likely soon. I can tolerate normal market fluctuations. I prefer stability and clear explanation over maximum growth.",Reliable income and avoid a large drawdown; I want to keep access to the funds because a major expense is likely soon; I can tolerate normal market fluctuations,Conservative,No,Moderate,Moderate,High,Low,Conservative,No,2,2,0,No
ILS-110,"I am 51 and I am describing my investment situation for an automated advisory service. I may also use the money to reduce debt. My household depends mostly on one unstable income, and I want to keep access to the funds because a major expense is likely soon. I feel behind financially and want the portfolio to recover the gap as quickly as possible. A major loss would create serious stress for my household. I need advice because my desire for high return may not match my ability to absorb losses.",My household depends mostly on one unstable income; I want to keep access to the funds because a major expense is likely soon; I feel behind financially and want the portfolio to recover the gap as quickly as possible; A major loss would create serious stress for my household.,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-111,"I am 68 and I am describing my investment situation for an automated advisory service. I do not know how much of this account I might need. My debt level may change soon. I think I can take some risk, but I am not sure how much. I would like the robo-adviser to recommend something, but I realize important information may still be missing.","I do not know how much of this account I might need; My debt level may change soon; I think I can take some risk, but I am not sure how much",Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-112,"I am 72 and would like investment advice that reflects my goals and constraints. This account is for retirement rather than short-term spending. I have a secure full-time job, and I have a strong cash buffer and no major short-term debts. I will not need this account for everyday expenses. I want growth but with a controlled level of volatility, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","This account is for retirement rather than short-term spending.; I have a secure full-time job, and I have a strong cash buffer and no major short-term debts; I will not need this account for everyday expenses; I want growth but with a controlled level of volatility",Growth,No,Moderate,High,Low,Low,Growth,No,2,0,2,Yes
ILS-113,"My situation is as follows: I am 51 and I want a portfolio recommendation based on my circumstances. I am new to investing and I do not fully understand the risks. My income is irregular and my emergency fund is small, and I have a tax payment due soon and may need to use these funds. I become very uncomfortable when my account falls even a little. I should probably not rely only on an automated recommendation unless the case is reviewed carefully.",I am new to investing and I do not fully understand the risks; I have a tax payment due soon and may need to use these funds; I become very uncomfortable when my account falls even a little,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-114,"My situation is as follows: I am 55 and I want a portfolio recommendation based on my circumstances. The main goal is a home down payment. This money may be needed for rent and family expenses very soon. My income is irregular and my emergency fund is small. I would rather earn less than see big swings. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.",The main goal is a home down payment.; This money may be needed for rent and family expenses very soon; My income is irregular and my emergency fund is small,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-115,"My situation is as follows: I am 42 and I want a portfolio recommendation based on my circumstances. I have two goals at the same time: tuition soon and retirement later. I may need this money for a business deposit in the next year or two. My emergency savings are already funded and this money is not needed for bills. I am willing to accept higher risk for higher expected return, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",Tuition soon and retirement later; I may need this money for a business deposit in the next year or two; My emergency savings are already funded and this money is not needed for bills,Balanced,No,Moderate,High,High,High,Human review,Yes,0,4,0,No
ILS-116,I am 70 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have a mortgage but my income covers regular expenses. I may need this money for a business deposit in the next year or two. I get anxious during market declines. I prefer stability and clear explanation over maximum growth.,Reliable income and avoid a large drawdown; I may need this money for a business deposit in the next year or two; I get anxious during market declines,Conservative,No,Low,Moderate,High,Low,Conservative,No,4,0,0,No
ILS-117,"I am 55 and would like investment advice that reflects my goals and constraints. I have two goals at the same time: medical costs soon and long-term wealth growth later. I want to keep access to the funds because a major expense is likely soon. I have a strong cash buffer and no major short-term debts. I want growth but with a controlled level of volatility, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",Medical costs soon and long-term wealth growth later; I want to keep access to the funds because a major expense is likely soon; I have a strong cash buffer and no major short-term debts,Balanced,No,Moderate,High,High,High,Human review,Yes,0,4,0,No
ILS-118,"I am 31 and would like investment advice that reflects my goals and constraints. The main goal is education funding. I may need the money within six months. I have some family expenses, but also a modest emergency fund. I prefer a balanced approach rather than the highest possible return. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.","The main goal is education funding.; I may need the money within six months; I have some family expenses, but also a modest emergency fund",Human review,Yes,Moderate,Moderate,Urgent,High,Human review,Yes,4,0,0,No
ILS-119,I am 31 and I am describing my investment situation for an automated advisory service. This account partly supports my emergency reserve. I have a mortgage but my income covers regular expenses. I may use part of the money in three to five years. I prefer avoiding losses even if returns are lower. I would accept lower returns if that reduces the chance of a meaningful loss.,This account partly supports my emergency reserve.; I may use part of the money in three to five years; I prefer avoiding losses even if returns are lower,Capital preservation,No,Low,Moderate,Moderate,Medium,Capital preservation,No,4,0,0,No
ILS-120,"I am 72 and I am describing my investment situation for an automated advisory service. I may also use the money to reduce debt. My income is irregular and my emergency fund is small, and I expect to use part of the funds for tuition in about two years. I want a very high-return strategy even though I cannot afford a big setback. A major loss would create serious stress for my household. I need advice because my desire for high return may not match my ability to absorb losses.",My income is irregular and my emergency fund is small; I expect to use part of the funds for tuition in about two years; I want a very high-return strategy even though I cannot afford a big setback; A major loss would create serious stress for my household.,Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-121,"I am 67 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. My debt is manageable, but I would not want a large loss right before a major expense. I may need a large part of the money within eighteen months. I can accept some ups and downs but not extreme losses. I prefer stability and clear explanation over maximum growth.",Reliable income and avoid a large drawdown; I may need a large part of the money within eighteen months; I can accept some ups and downs but not extreme losses,Conservative,No,Moderate,Moderate,High,Low,Conservative,No,4,0,0,No
ILS-122,"My situation is as follows: I am 55 and I want a portfolio recommendation based on my circumstances. This account is for retirement rather than short-term spending. My household income is steady, and this investment account is separate from my living expenses. This money is for long-term goals and I can leave it invested through market cycles. I do not panic when markets move sharply, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","This account is for retirement rather than short-term spending.; My household income is steady, and this investment account is separate from my living expenses; This money is for long-term goals and I can leave it invested through market cycles; I do not panic when markets move sharply",Aggressive growth,No,High,High,Low,Low,Aggressive growth,No,3,0,1,No
ILS-123,"As a 64-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I have not decided whether this is for retirement, a house, or general savings. My income may change, but I cannot estimate by how much. I am unsure how much volatility I could accept. I would like the robo-adviser to recommend something, but I realize important information may still be missing.","I have not decided whether this is for retirement, a house, or general savings; My income may change, but I cannot estimate by how much; I am unsure how much volatility I could accept",Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-124,"As a 42-year-old retail investor, I want the system to understand my situation before recommending a portfolio. My main goal is long-term wealth accumulation. My household income is steady, and I have stable income, manageable debt, and cash reserves outside this account. This money is for long-term goals and I can leave it invested through market cycles. I am comfortable with moderate risk if the reason is clear, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","My main goal is long-term wealth accumulation.; My household income is steady, and I have stable income, manageable debt, and cash reserves outside this account; This money is for long-term goals and I can leave it invested through market cycles; I am comfortable with moderate risk if the reason is clear",Growth,No,Moderate,High,Low,Low,Growth,No,3,0,1,No
ILS-125,"My situation is as follows: I am 42 and I want a portfolio recommendation based on my circumstances. I am investing mainly for retirement more than fifteen years away. I have a secure full-time job, and I have stable income, manageable debt, and cash reserves outside this account. I do not expect to withdraw this money for at least ten years. I prefer a balanced approach rather than the highest possible return, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","I am investing mainly for retirement more than fifteen years away.; I have a secure full-time job, and I have stable income, manageable debt, and cash reserves outside this account; I do not expect to withdraw this money for at least ten years; I prefer a balanced approach rather than the highest possible return",Growth,No,Moderate,High,Low,Low,Growth,No,3,0,1,No
ILS-126,I am 61 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have a strong cash buffer and no major short-term debts. I may need this money for a business deposit in the next year or two. I become very uncomfortable when my account falls even a little. I prefer stability and clear explanation over maximum growth.,Reliable income and avoid a large drawdown; I may need this money for a business deposit in the next year or two; I become very uncomfortable when my account falls even a little,Conservative,No,Low,High,High,Medium,Conservative,No,4,0,0,No
ILS-127,"My situation is as follows: I am 38 and I want a portfolio recommendation based on my circumstances. I have two goals at the same time: tuition soon and long-term wealth growth later. I may need the money within six months. My household depends mostly on one unstable income. I can tolerate normal market fluctuations, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",Tuition soon and long-term wealth growth later; I may need the money within six months; My household depends mostly on one unstable income,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-128,"My situation is as follows: I am 28 and I want a portfolio recommendation based on my circumstances. My main goal is retirement. I have some family expenses, but also a modest emergency fund. I do not expect to withdraw this money for at least ten years. When markets fell, I moved everything to cash and later regretted it. I say I want growth, but my past behavior makes me uncertain.","When markets fell, I moved everything to cash and later regretted it; I say I want growth, but my past behavior makes me uncertain.",Balanced,No,Inconsistent,Moderate,Low,Medium,Conservative,No,0,4,0,No
ILS-129,"I am 72 and would like investment advice that reflects my goals and constraints. I am trying to grow funds for a future home purchase. I have several fixed expenses and only a small emergency reserve, and I may need a large part of the money within eighteen months. I would like to take a lot of risk so the account can grow fast. I am not sure I could stay invested if markets fell. I need advice because my desire for high return may not match my ability to absorb losses.",I have several fixed expenses and only a small emergency reserve; I may need a large part of the money within eighteen months; I would like to take a lot of risk so the account can grow fast; I am not sure I could stay invested if markets fell.,Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-130,"As a 51-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I may also use the money to reduce debt. I still carry high-interest debt and have limited savings, and I need access to cash this year for medical expenses. I feel behind financially and want the portfolio to recover the gap as quickly as possible. I am not sure I could stay invested if markets fell. I need advice because my desire for high return may not match my ability to absorb losses.",I still carry high-interest debt and have limited savings; I need access to cash this year for medical expenses; I feel behind financially and want the portfolio to recover the gap as quickly as possible; I am not sure I could stay invested if markets fell.,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-131,"My situation is as follows: I am 55 and I want a portfolio recommendation based on my circumstances. I want this account to grow over the long run. My household income is steady, and this investment account is separate from my living expenses. I have no planned withdrawals from this account in the near future. I can accept some ups and downs but not extreme losses, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","I want this account to grow over the long run.; My household income is steady, and this investment account is separate from my living expenses; I have no planned withdrawals from this account in the near future; I can accept some ups and downs but not extreme losses",Growth,No,Moderate,High,Low,Low,Growth,No,3,0,1,No
ILS-132,"My situation is as follows: I am 51 and I want a portfolio recommendation based on my circumstances. I want to build wealth faster than I have so far. I have some family expenses, but also a modest emergency fund. This money is for long-term goals and I can leave it invested through market cycles. I believe I can beat the market by moving in and out quickly. I am asking for a recommendation, but I may be putting too much weight on recent market excitement.","I have some family expenses, but also a modest emergency fund; This money is for long-term goals and I can leave it invested through market cycles; I believe I can beat the market by moving in and out quickly",Growth,No,High,Moderate,Low,Medium,Growth,No,2,1,1,Yes
ILS-133,"My situation is as follows: I am 55 and I want a portfolio recommendation based on my circumstances. I recently lost my job and my savings are limited. My household depends mostly on one unstable income, and I have a tax payment due soon and may need to use these funds. I would rather earn less than see big swings. I should probably not rely only on an automated recommendation unless the case is reviewed carefully.",I recently lost my job and my savings are limited; I have a tax payment due soon and may need to use these funds; I would rather earn less than see big swings,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-134,"My situation is as follows: I am 51 and I want a portfolio recommendation based on my circumstances. I am building an education fund and want the money to grow without excessive risk. My income is predictable, although I have some family expenses, but also a modest emergency fund. I may need access to some cash before the end of five years. I can tolerate normal market fluctuations, so I would prefer a portfolio that balances growth and stability.",I am building an education fund and want the money to grow without excessive risk.; I may need access to some cash before the end of five years; I can tolerate normal market fluctuations,Balanced,No,Moderate,Moderate,Moderate,Low,Balanced,No,4,0,0,No
ILS-135,"As a 46-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I have two goals at the same time: a home down payment soon and retirement later. I want to keep access to the funds because a major expense is likely soon. My income is irregular and my emergency fund is small. I understand that equity markets can fall and I would stay invested, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",A home down payment soon and retirement later; I want to keep access to the funds because a major expense is likely soon; My income is irregular and my emergency fund is small,Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-136,"I am 60 and I am describing my investment situation for an automated advisory service. The main goal is a home down payment. I may need the money within six months. My household depends mostly on one unstable income. I prefer avoiding losses even if returns are lower. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.",The main goal is a home down payment.; I may need the money within six months; My household depends mostly on one unstable income,Human review,Yes,Low,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-137,"I am 55 and I am describing my investment situation for an automated advisory service. My main goal is long-term wealth accumulation. My income is predictable, and my emergency savings are already funded and this money is not needed for bills. I will not need this account for everyday expenses. I can tolerate normal market fluctuations, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","My main goal is long-term wealth accumulation.; My income is predictable, and my emergency savings are already funded and this money is not needed for bills; I will not need this account for everyday expenses; I can tolerate normal market fluctuations",Growth,No,Moderate,High,Low,Low,Growth,No,3,0,1,No
ILS-138,"I am 73 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have some family expenses, but also a modest emergency fund. I could withdraw a small portion in the medium term. I become very uncomfortable when my account falls even a little. I prefer stability and clear explanation over maximum growth.",Reliable income and avoid a large drawdown; I could withdraw a small portion in the medium term; I become very uncomfortable when my account falls even a little,Conservative,No,Low,Moderate,Moderate,Medium,Conservative,No,4,0,0,No
ILS-139,"My situation is as follows: I am 64 and I want a portfolio recommendation based on my circumstances. I want general wealth growth but do not want a very aggressive strategy. My salary is stable, although I have a mortgage but my income covers regular expenses. I may use part of the money in three to five years. I can tolerate normal market fluctuations, so I would prefer a portfolio that balances growth and stability.",I want general wealth growth but do not want a very aggressive strategy.; I may use part of the money in three to five years; I can tolerate normal market fluctuations,Balanced,No,Moderate,Moderate,Moderate,Low,Balanced,No,4,0,0,No
ILS-140,"As a 55-year-old retail investor, I want the system to understand my situation before recommending a portfolio. My main goal is retirement planning more than fifteen years away. My income is predictable, and my emergency savings are already funded and this money is not needed for bills. This money is for long-term goals and I can leave it invested through market cycles. I want growth but with a controlled level of volatility, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","My main goal is retirement planning more than fifteen years away.; My income is predictable, and my emergency savings are already funded and this money is not needed for bills; This money is for long-term goals and I can leave it invested through market cycles; I want growth but with a controlled level of volatility",Growth,No,Moderate,High,Low,Low,Growth,No,3,0,1,No
ILS-141,I am 38 and I am describing my investment situation for an automated advisory service. My main goal is long-term wealth growth. My emergency savings are already funded and this money is not needed for bills. This money is for long-term goals and I can leave it invested through market cycles. During the last market decline I sold funds at a loss because I panicked. I want a portfolio that helps me avoid another emotional mistake.,During the last market decline I sold funds at a loss because I panicked; I want a portfolio that helps me avoid another emotional mistake.,Balanced,No,Inconsistent,High,Low,Medium,Conservative,No,0,4,0,No
ILS-142,"My situation is as follows: I am 34 and I want a portfolio recommendation based on my circumstances. I am investing mainly for retirement more than fifteen years away. My household income is steady, and this investment account is separate from my living expenses. This money is for long-term goals and I can leave it invested through market cycles. I am comfortable with large short-term swings, and I would prefer a recommendation that emphasizes long-term growth while still remaining diversified.","I am investing mainly for retirement more than fifteen years away.; My household income is steady, and this investment account is separate from my living expenses; This money is for long-term goals and I can leave it invested through market cycles; I am comfortable with large short-term swings",Aggressive growth,No,High,High,Low,Low,Aggressive growth,No,3,0,1,No
ILS-143,"My situation is as follows: I am 68 and I want a portfolio recommendation based on my circumstances. I am saving toward a home purchase but the exact timing is still a few years away. I have stable consulting income, although I can save monthly, although I still have normal household commitments. This money is for long-term goals and I can leave it invested through market cycles. I am comfortable with moderate risk if the reason is clear, so I would prefer a portfolio that balances growth and stability.",I am saving toward a home purchase but the exact timing is still a few years away.; This money is for long-term goals and I can leave it invested through market cycles; I am comfortable with moderate risk if the reason is clear,Balanced,No,Moderate,Moderate,Low,Low,Balanced,No,4,0,0,No
ILS-144,"I am 31 and I am describing my investment situation for an automated advisory service. I am investing for retirement and would like steady long-term growth. I have stable consulting income, although I have some family expenses, but also a modest emergency fund. I could withdraw a small portion in the medium term. I want growth but with a controlled level of volatility, so I would prefer a portfolio that balances growth and stability.",I am investing for retirement and would like steady long-term growth.; I could withdraw a small portion in the medium term; I want growth but with a controlled level of volatility,Balanced,No,Moderate,Moderate,Moderate,Low,Balanced,No,4,0,0,No
ILS-145,"I am 51 and I am describing my investment situation for an automated advisory service. I do not know how much of this account I might need. My debt level may change soon. I think I can take some risk, but I am not sure how much. I would like the robo-adviser to recommend something, but I realize important information may still be missing.","I do not know how much of this account I might need; My debt level may change soon; I think I can take some risk, but I am not sure how much",Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-146,"I am 60 and would like investment advice that reflects my goals and constraints. I may also use the money to reduce debt. I recently changed jobs and do not have much cash set aside, and I have a tax payment due soon and may need to use these funds. I want a very high-return strategy even though I cannot afford a big setback. A major loss would create serious stress for my household. I need advice because my desire for high return may not match my ability to absorb losses.",I recently changed jobs and do not have much cash set aside; I have a tax payment due soon and may need to use these funds; I want a very high-return strategy even though I cannot afford a big setback; A major loss would create serious stress for my household.,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-147,I am 51 and would like investment advice that reflects my goals and constraints. I am approaching retirement and want to protect what I have accumulated. I have a mortgage but my income covers regular expenses. I expect to use part of the funds for tuition in about two years. I do not sleep well when investments lose value. I would accept lower returns if that reduces the chance of a meaningful loss.,I am approaching retirement and want to protect what I have accumulated.; I expect to use part of the funds for tuition in about two years; I do not sleep well when investments lose value,Capital preservation,No,Low,Moderate,High,Medium,Capital preservation,No,4,0,0,No
ILS-148,"As a 68-year-old retail investor, I want the system to understand my situation before recommending a portfolio. My retirement savings are behind schedule. I still carry high-interest debt and have limited savings, and I may need the money within six months. I feel behind financially and want the portfolio to recover the gap as quickly as possible. If the account dropped sharply, I would probably need to sell. I need advice because my desire for high return may not match my ability to absorb losses.","I still carry high-interest debt and have limited savings; I may need the money within six months; I feel behind financially and want the portfolio to recover the gap as quickly as possible; If the account dropped sharply, I would probably need to sell.",Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-149,"As a 38-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I have two goals at the same time: a business deposit soon and long-term wealth growth later. I need access to cash this year for medical expenses. I have several fixed expenses and only a small emergency reserve. I can accept some ups and downs but not extreme losses, but I am unsure whether one portfolio can serve both the short-term and long-term goals.",A business deposit soon and long-term wealth growth later; I need access to cash this year for medical expenses; I have several fixed expenses and only a small emergency reserve,Human review,Yes,Inconsistent,Low,Urgent,High,Human review,Yes,4,0,0,No
ILS-150,"My situation is as follows: I am 51 and I want a portfolio recommendation based on my circumstances. The main goal is a business deposit. I am considering a home down payment within the next two years. My income is irregular and my emergency fund is small. I would rather earn less than see big swings. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.",The main goal is a business deposit.; I am considering a home down payment within the next two years; My income is irregular and my emergency fund is small,Human review,Yes,Low,Low,High,High,Human review,Yes,4,0,0,No
ILS-151,"My situation is as follows: I am 38 and I want a portfolio recommendation based on my circumstances. I have two goals at the same time: tuition soon and future family security later. I have a tax payment due soon and may need to use these funds. I can save monthly, although I still have normal household commitments. I am comfortable with large short-term swings, but I am unsure whether one portfolio can serve both the short-term and long-term goals.","Tuition soon and future family security later; I have a tax payment due soon and may need to use these funds; I can save monthly, although I still have normal household commitments",Human review,Yes,Inconsistent,Moderate,Urgent,High,Human review,Yes,4,0,0,No
ILS-152,"As a 51-year-old retail investor, I want the system to understand my situation before recommending a portfolio. I may use some of the funds to reduce debt if rates stay high. I still carry high-interest debt and have limited savings. I may need this money for a business deposit in the next year or two. I prefer avoiding losses even if returns are lower. I would accept lower returns if that reduces the chance of a meaningful loss.",I may use some of the funds to reduce debt if rates stay high.; I may need this money for a business deposit in the next year or two; I prefer avoiding losses even if returns are lower,Capital preservation,No,Low,Low,High,Medium,Capital preservation,No,4,0,0,No
ILS-153,I am 58 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have no high-interest debt and a separate emergency fund. I want to keep access to the funds because a major expense is likely soon. I prefer a balanced approach rather than the highest possible return. I prefer stability and clear explanation over maximum growth.,Reliable income and avoid a large drawdown; I want to keep access to the funds because a major expense is likely soon; I prefer a balanced approach rather than the highest possible return,Conservative,No,Moderate,High,High,Low,Conservative,No,2,2,0,No
ILS-154,"My situation is as follows: I am 64 and I want a portfolio recommendation based on my circumstances. My main goal is saving for education expenses. I have a stable job, but my cash buffer is only moderate. I may use part of the money in three to five years. I usually say I can take risk, but I sold quickly during the last downturn. I say I want growth, but my past behavior makes me uncertain.","I usually say I can take risk, but I sold quickly during the last downturn; I say I want growth, but my past behavior makes me uncertain.",Conservative,No,Inconsistent,Moderate,Moderate,Medium,Conservative,No,3,1,0,No
ILS-155,I am 70 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have a strong cash buffer and no major short-term debts. I may need access to some cash before the end of five years. I prefer a balanced approach rather than the highest possible return. I prefer stability and clear explanation over maximum growth.,Reliable income and avoid a large drawdown; I may need access to some cash before the end of five years; I prefer a balanced approach rather than the highest possible return,Balanced,No,Moderate,High,Moderate,Low,Balanced,No,4,0,0,No
ILS-156,"My situation is as follows: I am 55 and I want a portfolio recommendation based on my circumstances. I may use some of the funds to reduce debt if rates stay high. I have a stable job, but my cash buffer is only moderate. I expect to use part of the funds for tuition in about two years. I would rather earn less than see big swings. I would accept lower returns if that reduces the chance of a meaningful loss.",I may use some of the funds to reduce debt if rates stay high.; I expect to use part of the funds for tuition in about two years; I would rather earn less than see big swings,Capital preservation,No,Low,Moderate,High,Medium,Capital preservation,No,4,0,0,No
ILS-157,"I am 38 and would like investment advice that reflects my goals and constraints. I am investing for retirement and would like steady long-term growth. I have a secure full-time job, although I have a stable job, but my cash buffer is only moderate. I will not need this account for everyday expenses. I want growth but with a controlled level of volatility, so I would prefer a portfolio that balances growth and stability.",I am investing for retirement and would like steady long-term growth.; I will not need this account for everyday expenses; I want growth but with a controlled level of volatility,Balanced,No,Moderate,Moderate,Low,Low,Balanced,No,4,0,0,No
ILS-158,"I am 58 and I am either retired or close to retirement. I want the account to produce reliable income and avoid a large drawdown. I have stable income, manageable debt, and cash reserves outside this account. I could withdraw a small portion in the medium term. I am comfortable with moderate risk if the reason is clear. I prefer stability and clear explanation over maximum growth.",Reliable income and avoid a large drawdown; I could withdraw a small portion in the medium term; I am comfortable with moderate risk if the reason is clear,Balanced,No,Moderate,High,Moderate,Low,Balanced,No,4,0,0,No
ILS-159,"I am 31 and would like investment advice that reflects my goals and constraints. My retirement savings are behind schedule. I still carry high-interest debt and have limited savings, and I may need this money for a business deposit in the next year or two. I would like to take a lot of risk so the account can grow fast. If the account dropped sharply, I would probably need to sell. I need advice because my desire for high return may not match my ability to absorb losses.","I still carry high-interest debt and have limited savings; I may need this money for a business deposit in the next year or two; I would like to take a lot of risk so the account can grow fast; If the account dropped sharply, I would probably need to sell.",Human review,Yes,Inconsistent,Low,High,High,Human review,Yes,4,0,0,No
ILS-160,"I am 31 and I am describing my investment situation for an automated advisory service. The main goal is covering possible healthcare costs. I may need a large part of the money within eighteen months. I recently changed jobs and do not have much cash set aside. I prefer a balanced approach rather than the highest possible return. I still want the money to earn something, but I cannot risk losing funds that may be needed soon.",The main goal is covering possible healthcare costs.; I may need a large part of the money within eighteen months; I recently changed jobs and do not have much cash set aside,Human review,Yes,Moderate,Low,High,High,Human review,Yes,4,0,0,No
